VALOR_A_PAGAR,TAXA,RENDA_MES_ANTERIOR,NO_FUNCIONARIOS,PJ_ou_PF,SEGMENTO_INDUSTRIAL_Comércio,SEGMENTO_INDUSTRIAL_Indústria,SEGMENTO_INDUSTRIAL_Serviços,Tam_Empresa,Mes_Emissao_Documento,Dia_Emissao_Documento,Mes_Vencimento,Dia_Vencimento,Churned
117316.25,6.99,217640.0,115.0,1,0,0,1,0,8,22,9,10,0
1182.0,6.99,217640.0,115.0,1,0,0,1,0,8,30,10,5,0
42742.1,6.99,163358.0,115.0,1,0,0,1,0,9,6,9,24,0
78540.1,6.99,163358.0,115.0,1,0,0,1,0,9,9,9,25,0
46626.0,6.99,246197.0,117.93810019518544,1,0,0,1,2,8,17,9,17,0
46626.0,6.99,246197.0,117.93810019518544,1,0,0,1,2,8,18,9,18,0
31084.0,6.99,246197.0,117.93810019518544,1,0,0,1,2,8,20,9,19,0
31084.0,6.99,246197.0,117.93810019518544,1,0,0,1,2,8,23,9,24,0
31084.0,6.99,277934.0,84.0,1,0,0,1,2,9,3,10,3,0
31084.0,6.99,277934.0,84.0,1,0,0,1,2,9,6,10,8,0
31084.0,6.99,277934.0,84.0,1,0,0,1,2,9,10,10,10,0
42903.1,5.99,228480.0,119.0,1,1,0,0,2,8,17,9,3,0
96954.95,5.99,228480.0,119.0,1,1,0,0,2,8,21,9,6,0
43397.0,5.99,228480.0,119.0,1,1,0,0,2,8,28,9,13,0
97329.2,5.99,278795.0,99.0,1,1,0,0,2,9,6,9,24,0
81472.0,5.99,278795.0,99.0,1,1,0,0,2,9,14,10,1,0
36316.87,6.99,245366.0,117.93810019518544,1,0,1,0,1,8,17,9,3,0
39089.52,6.99,245366.0,117.93810019518544,1,0,1,0,1,8,26,9,11,0
56152.28,6.99,209440.0,107.0,1,0,1,0,1,9,10,9,26,0
31550.49,11.99,245198.0,117.0,1,1,0,0,1,8,17,9,4,0
33156.14,11.99,217773.0,117.0,1,1,0,0,1,9,3,9,19,0
91187.75,6.99,237934.0,113.0,1,1,0,0,0,8,17,9,3,0
48518.75,6.99,237934.0,113.0,1,1,0,0,0,8,27,9,12,0
39633.1,6.99,292798.0,113.0,1,1,0,0,0,9,7,9,24,0
78996.55,6.99,292798.0,113.0,1,1,0,0,0,9,12,9,28,0
86008.45,6.99,292798.0,113.0,1,1,0,0,0,9,13,10,1,0
34379.4,5.99,228480.0,119.0,1,1,0,0,2,8,17,9,3,0
17134.32,5.99,228480.0,119.0,1,1,0,0,2,8,20,9,5,0
24979.9,5.99,228480.0,119.0,1,1,0,0,2,8,24,9,10,0
31150.84,5.99,228480.0,119.0,1,1,0,0,2,8,27,9,12,0
84342.5,5.99,228480.0,119.0,1,1,0,0,2,8,28,9,13,0
25142.3,5.99,228480.0,119.0,1,1,0,0,2,8,30,9,17,0
945.6,5.99,228480.0,119.0,1,1,0,0,2,8,30,10,5,0
17639.6,5.99,281719.0,128.0,1,1,0,0,2,9,11,9,28,0
22176.2,5.99,281719.0,128.0,1,1,0,0,2,9,14,10,1,0
91448.7,5.99,245803.0,125.0,1,0,1,0,2,8,17,10,1,0
30648.8,5.99,245803.0,125.0,1,0,1,0,2,8,19,10,3,0
31231.3,5.99,245803.0,125.0,1,0,1,0,2,8,19,10,3,0
91448.7,5.99,245803.0,125.0,1,0,1,0,2,8,21,10,5,0
15241.45,5.99,245803.0,125.0,1,0,1,0,2,8,21,10,5,0
30648.8,5.99,245803.0,125.0,1,0,1,0,2,8,21,10,5,0
106690.15,5.99,245803.0,125.0,1,0,1,0,2,8,23,10,8,0
76622.0,5.99,245803.0,125.0,1,0,1,0,2,8,24,10,8,0
30648.8,5.99,245803.0,125.0,1,0,1,0,2,8,26,10,10,0
15241.45,5.99,245803.0,125.0,1,0,1,0,2,8,27,10,11,0
30482.9,5.99,245803.0,125.0,1,0,1,0,2,8,29,10,15,0
30482.9,5.99,245803.0,125.0,1,0,1,0,2,8,30,10,15,0
30487.7,5.99,412365.0,125.0,1,0,1,0,2,9,2,10,17,0
30653.6,5.99,412365.0,125.0,1,0,1,0,2,9,3,10,18,0
46771.35,5.99,412365.0,125.0,1,0,1,0,2,9,6,10,22,0
15326.8,5.99,412365.0,125.0,1,0,1,0,2,9,7,10,22,0
76634.0,5.99,412365.0,125.0,1,0,1,0,2,9,9,10,24,0
31237.3,5.99,412365.0,125.0,1,0,1,0,2,9,13,10,29,0
35824.1,4.99,245179.0,119.0,1,1,0,0,2,8,17,9,17,0
17912.05,4.99,245179.0,119.0,1,1,0,0,2,8,20,9,19,0
17912.05,4.99,245179.0,119.0,1,1,0,0,2,8,23,9,24,0
36145.9,4.99,159687.0,100.0,1,1,0,0,2,9,3,10,3,0
35965.9,4.99,159687.0,100.0,1,1,0,0,2,9,6,10,8,0
35965.9,4.99,159687.0,100.0,1,1,0,0,2,9,9,10,9,0
17982.95,4.99,159687.0,100.0,1,1,0,0,2,9,10,10,10,0
71594.86,4.99,245179.0,119.0,1,1,0,0,2,8,17,9,25,0
74514.88,4.99,245179.0,119.0,1,1,0,0,2,8,20,9,26,0
74514.88,4.99,245179.0,119.0,1,1,0,0,2,8,30,10,5,0
74514.88,4.99,245179.0,119.0,1,1,0,0,2,8,31,10,9,0
77901.92,4.99,70760.0,123.0,1,1,0,0,2,9,2,10,9,0
77901.92,4.99,70760.0,123.0,1,1,0,0,2,9,5,10,11,0
77901.92,4.99,70760.0,123.0,1,1,0,0,2,9,7,10,15,0
77901.92,4.99,70760.0,123.0,1,1,0,0,2,9,7,10,16,0
74514.88,4.99,70760.0,123.0,1,1,0,0,2,9,12,10,18,0
77901.92,4.99,70760.0,123.0,1,1,0,0,2,9,12,10,18,0
77901.92,4.99,70760.0,123.0,1,1,0,0,2,9,14,10,23,0
48664.25,5.99,228480.0,119.0,1,1,0,0,2,8,17,9,3,0
72425.0,5.99,228480.0,119.0,1,1,0,0,2,8,28,9,14,0
1182.0,5.99,228480.0,119.0,1,1,0,0,2,8,30,10,5,0
100616.1,5.99,255036.5,113.0,1,1,0,0,0,8,17,9,4,0
89552.8,5.99,255036.5,113.0,1,1,0,0,0,8,22,9,11,0
94062.8,5.99,255036.5,113.0,1,1,0,0,0,8,23,9,10,0
102686.1,5.99,255036.5,113.0,1,1,0,0,0,8,23,9,10,0
51393.0,5.99,255036.5,113.0,1,1,0,0,0,8,24,9,11,0
59610.76,5.99,300502.0,107.0,1,1,0,0,0,9,4,9,24,0
39398.06,5.99,300502.0,107.0,1,1,0,0,0,9,6,9,24,0
55416.75,5.99,300502.0,107.0,1,1,0,0,0,9,9,9,25,0
11751.35,5.99,300502.0,107.0,1,1,0,0,0,9,11,9,27,0
31813.9,6.99,246197.0,122.0,1,0,0,1,2,8,17,9,4,0
52382.8,4.99,244490.0,122.0,1,0,0,1,2,8,17,9,3,0
55341.08,4.99,244490.0,122.0,1,0,0,1,2,8,22,9,10,0
70669.5,4.99,244490.0,122.0,1,0,0,1,2,8,31,9,17,0
33575.2,4.99,342581.0,99.0,1,0,0,1,2,9,14,10,1,0
105278.0,5.99,228480.0,119.0,1,1,0,0,2,8,17,9,3,0
42119.6,5.99,228480.0,119.0,1,1,0,0,2,8,23,9,10,0
14330.55,5.99,228480.0,119.0,1,1,0,0,2,8,28,9,13,0
42448.9,5.99,228480.0,119.0,1,1,0,0,2,8,28,9,13,0
115858.3,5.99,343757.0,116.0,1,1,0,0,2,9,4,9,20,0
79309.0,5.99,343757.0,116.0,1,1,0,0,2,9,5,9,21,0
22055.0,5.99,343757.0,116.0,1,1,0,0,2,9,11,9,27,0
36231.85,5.99,343757.0,116.0,1,1,0,0,2,9,13,10,1,0
190201.6,4.99,238799.0,117.0,1,0,1,0,1,8,17,9,5,0
33814.2,4.99,238799.0,117.0,1,0,1,0,1,8,20,9,5,0
144755.2,4.99,238799.0,117.0,1,0,1,0,1,8,21,9,10,0
75593.1,4.99,238799.0,117.0,1,0,1,0,1,8,23,9,10,0
37348.34,4.99,238799.0,117.0,1,0,1,0,1,8,28,9,17,0
33814.2,4.99,238799.0,117.0,1,0,1,0,1,8,30,9,17,0
99673.87,4.99,238799.0,117.0,1,0,1,0,1,8,30,9,17,0
132484.17,4.99,136317.0,96.0,1,0,1,0,1,9,2,9,18,0
40577.04,4.99,136317.0,96.0,1,0,1,0,1,9,5,9,21,0
131875.38,4.99,136317.0,96.0,1,0,1,0,1,9,13,10,1,0
66595.05,11.99,245715.0,119.0,1,1,0,0,2,8,17,9,3,0
32582.6,11.99,245715.0,119.0,1,1,0,0,2,8,24,9,10,0
38391.54,5.99,247027.0,122.0,1,0,0,1,2,8,17,9,3,0
35776.77,5.99,354607.0,109.0,1,0,0,1,2,9,2,9,19,0
32052.0,6.99,246197.0,122.0,1,0,0,1,2,8,17,9,6,0
32052.0,6.99,183447.0,101.0,1,0,0,1,2,9,6,9,26,0
16026.0,6.99,183447.0,101.0,1,0,0,1,2,9,10,10,1,0
51610.2,6.99,245366.0,117.0,1,0,1,0,1,8,17,9,3,0
51610.2,6.99,245366.0,117.0,1,0,1,0,1,8,19,9,4,0
35083.9,6.99,245366.0,117.0,1,0,1,0,1,8,27,9,12,0
12629.8,6.99,245366.0,117.0,1,0,1,0,1,8,29,9,14,0
1656.0,6.99,245366.0,117.0,1,0,1,0,1,8,30,10,5,0
22521.65,6.99,119484.0,89.0,1,0,1,0,1,9,2,9,18,0
30290.0,6.99,119484.0,89.0,1,0,1,0,1,9,3,10,25,0
22732.91,6.99,119484.0,89.0,1,0,1,0,1,9,3,9,19,0
51459.9,6.99,119484.0,89.0,1,0,1,0,1,9,5,9,21,0
22454.05,6.99,119484.0,89.0,1,0,1,0,1,9,6,9,25,0
68491.0,6.99,119484.0,89.0,1,0,1,0,1,9,6,9,25,0
34306.6,6.99,119484.0,89.0,1,0,1,0,1,9,6,9,25,0
22079.05,6.99,119484.0,89.0,1,0,1,0,1,9,7,9,24,0
51368.25,6.99,119484.0,89.0,1,0,1,0,1,9,9,9,25,0
34306.6,6.99,119484.0,89.0,1,0,1,0,1,9,9,9,25,0
68491.0,6.99,119484.0,89.0,1,0,1,0,1,9,10,9,26,0
51459.9,6.99,119484.0,89.0,1,0,1,0,1,9,11,9,28,0
22087.82,6.99,241371.0,125.0,1,0,1,0,2,8,17,9,4,0
22087.82,6.99,241371.0,125.0,1,0,1,0,2,8,19,9,6,0
12898.02,6.99,241371.0,125.0,1,0,1,0,2,8,24,9,11,0
13534.59,6.99,241371.0,125.0,1,0,1,0,2,8,31,9,18,0
13420.3,6.99,611857.0,104.0,1,0,1,0,2,9,3,9,21,0
16942.03,6.99,611857.0,104.0,1,0,1,0,2,9,4,9,24,0
13420.3,6.99,611857.0,104.0,1,0,1,0,2,9,9,9,27,0
47215.5,5.99,255036.5,113.0,1,1,0,0,0,8,17,9,17,0
15498.5,5.99,255036.5,113.0,1,1,0,0,0,8,20,9,19,0
50363.2,5.99,255036.5,113.0,1,1,0,0,0,8,23,9,24,0
15498.5,5.99,113668.0,105.0,1,1,0,0,0,9,2,10,2,0
22846.65,5.99,113668.0,105.0,1,1,0,0,0,9,11,10,11,0
50363.2,5.99,113668.0,105.0,1,1,0,0,0,9,11,10,11,0
46009.65,5.99,113668.0,105.0,1,1,0,0,0,9,13,10,16,0
15465.0,5.99,113668.0,105.0,1,1,0,0,0,9,14,10,16,0
85375.2,11.99,245715.0,119.0,1,1,0,0,2,8,17,9,3,0
97534.85,11.99,245715.0,119.0,1,1,0,0,2,8,20,9,5,0
90525.9,11.99,245715.0,119.0,1,1,0,0,2,8,25,9,13,0
74517.5,11.99,245715.0,119.0,1,1,0,0,2,8,25,9,13,0
85810.3,11.99,245072.0,125.0,1,1,0,0,2,9,6,9,24,0
94685.8,11.99,245072.0,125.0,1,1,0,0,2,9,9,9,25,0
94685.45,11.99,245072.0,125.0,1,1,0,0,2,9,11,9,27,0
141808.65,11.99,245072.0,125.0,1,1,0,0,2,9,14,10,1,0
18000.0,6.99,241371.0,125.0,1,0,1,0,2,8,17,9,3,0
42457.87,6.99,255144.0,82.0,1,0,1,0,2,9,10,10,1,0
20320.0,4.99,239337.0,115.0,1,0,0,1,1,8,17,9,3,0
20120.0,4.99,239337.0,115.0,1,0,0,1,1,8,22,9,10,0
20620.0,4.99,239337.0,115.0,1,0,0,1,1,8,24,9,10,0
23390.0,4.99,239337.0,115.0,1,0,0,1,1,8,26,9,11,0
20295.0,4.99,239337.0,115.0,1,0,0,1,1,8,28,9,13,0
20395.0,4.99,239337.0,115.0,1,0,0,1,1,8,31,9,17,0
11895.0,4.99,160816.0,90.0,1,0,0,1,1,9,9,9,25,0
20495.0,4.99,160816.0,90.0,1,0,0,1,1,9,11,9,27,0
20995.0,4.99,160816.0,90.0,1,0,0,1,1,9,11,9,27,0
76369.2,4.99,244490.0,122.0,1,0,0,1,2,8,17,9,3,0
30177.5,4.99,244490.0,122.0,1,0,0,1,2,8,26,9,11,0
93530.64,4.99,244490.0,122.0,1,0,0,1,2,8,26,9,11,0
10000.0,4.99,244490.0,122.0,1,0,0,1,2,8,31,9,17,1
6660.0,4.99,86278.0,131.0,1,0,0,1,2,9,3,9,19,1
92130.64,4.99,86278.0,131.0,1,0,0,1,2,9,6,9,24,0
9556.0,4.99,86278.0,131.0,1,0,0,1,2,9,6,9,24,0
42651.2,4.99,86278.0,131.0,1,0,0,1,2,9,7,9,24,0
92130.64,4.99,86278.0,131.0,1,0,0,1,2,9,10,9,26,0
72388.36,4.99,86278.0,131.0,1,0,0,1,2,9,13,10,1,0
93654.8,6.99,234489.0,115.0,1,0,0,1,1,8,17,9,3,0
33233.4,6.99,234489.0,115.0,1,0,0,1,1,8,20,9,5,0
31463.0,6.99,234489.0,115.0,1,0,0,1,1,8,23,9,10,0
1182.0,6.99,234489.0,115.0,1,0,0,1,1,8,30,10,5,0
96370.85,6.99,457591.0,102.0,1,0,0,1,1,9,6,9,24,0
22589.98,6.99,457591.0,102.0,1,0,0,1,1,9,7,9,24,0
21250.45,6.99,245366.0,117.0,1,0,1,0,1,8,17,9,10,0
50467.5,6.99,260432.0,117.0,1,1,0,0,1,8,17,9,24,0
49557.3,6.99,260432.0,117.0,1,1,0,0,1,8,19,9,24,0
50157.42,6.99,260432.0,117.0,1,1,0,0,1,8,19,9,24,0
30852.14,6.99,260432.0,117.0,1,1,0,0,1,8,19,9,10,0
100631.6,6.99,260432.0,117.0,1,1,0,0,1,8,20,9,25,0
100935.0,6.99,260432.0,117.0,1,1,0,0,1,8,26,10,1,0
43616.46,6.99,260432.0,117.0,1,1,0,0,1,8,26,10,1,0
50103.42,6.99,260432.0,117.0,1,1,0,0,1,8,27,10,2,0
39941.69,6.99,260432.0,117.0,1,1,0,0,1,8,27,10,2,0
77080.1,6.99,260432.0,117.0,1,1,0,0,1,8,28,10,3,0
30919.36,6.99,260432.0,117.0,1,1,0,0,1,8,28,9,19,0
53225.2,6.99,260432.0,117.0,1,1,0,0,1,8,29,10,4,0
99721.4,6.99,260432.0,117.0,1,1,0,0,1,8,29,10,4,0
50042.74,6.99,260432.0,117.0,1,1,0,0,1,8,31,10,8,0
201870.0,6.99,260432.0,100.0,1,1,0,0,1,9,1,10,9,0
62006.76,6.99,260432.0,100.0,1,1,0,0,1,9,2,9,24,0
43166.46,6.99,260432.0,100.0,1,1,0,0,1,9,6,10,15,0
200070.0,6.99,260432.0,100.0,1,1,0,0,1,9,6,10,15,0
49714.1,6.99,260432.0,100.0,1,1,0,0,1,9,7,10,15,0
62552.86,6.99,260432.0,100.0,1,1,0,0,1,9,7,10,1,0
196429.2,6.99,260432.0,100.0,1,1,0,0,1,9,7,10,15,0
72994.92,6.99,260432.0,100.0,1,1,0,0,1,9,7,10,15,0
49410.7,6.99,260432.0,100.0,1,1,0,0,1,9,7,10,15,0
49107.3,6.99,260432.0,100.0,1,1,0,0,1,9,9,10,15,0
63124.28,6.99,260432.0,100.0,1,1,0,0,1,9,9,10,1,0
72024.04,6.99,260432.0,100.0,1,1,0,0,1,9,10,10,16,0
50017.5,6.99,260432.0,100.0,1,1,0,0,1,9,11,10,17,0
76316.6,6.99,260432.0,100.0,1,1,0,0,1,9,11,10,17,0
49410.7,6.99,260432.0,100.0,1,1,0,0,1,9,11,10,17,0
43348.5,6.99,260432.0,100.0,1,1,0,0,1,9,12,10,18,0
73359.0,6.99,260432.0,100.0,1,1,0,0,1,9,12,10,18,0
76511.46,6.99,260432.0,100.0,1,1,0,0,1,9,12,10,18,0
72388.12,6.99,260432.0,100.0,1,1,0,0,1,9,12,10,18,0
49107.3,6.99,260432.0,100.0,1,1,0,0,1,9,13,10,19,0
196429.2,6.99,260432.0,100.0,1,1,0,0,1,9,14,10,22,0
38007.96,6.99,234489.0,117.93810019518544,1,0,0,1,1,8,17,9,6,0
62334.28,6.99,234489.0,117.93810019518544,1,0,0,1,1,8,26,9,17,0
16914.91,6.99,234489.0,117.93810019518544,1,0,0,1,1,8,26,9,20,0
100416.68,5.99,247027.0,122.0,1,0,0,1,2,8,18,9,4,0
200834.48,5.99,247027.0,122.0,1,0,0,1,2,8,22,9,11,0
102263.13,5.99,247027.0,122.0,1,0,0,1,2,8,30,9,17,0
99481.76,5.99,247027.0,122.0,1,0,0,1,2,8,30,9,17,0
196458.08,5.99,247027.0,122.0,1,0,0,1,2,8,30,9,17,0
102263.13,5.99,49788.0,118.0,1,0,0,1,2,9,1,9,18,0
99983.13,5.99,49788.0,118.0,1,0,0,1,2,9,1,9,18,0
146641.92,5.99,49788.0,118.0,1,0,0,1,2,9,1,9,18,0
196794.02,5.99,49788.0,118.0,1,0,0,1,2,9,2,9,19,0
100630.18,5.99,49788.0,118.0,1,0,0,1,2,9,3,9,20,0
196794.02,5.99,49788.0,118.0,1,0,0,1,2,9,11,9,28,0
98397.01,5.99,49788.0,118.0,1,0,0,1,2,9,11,9,28,0
70946.0,4.99,239337.0,115.0,1,0,0,1,1,8,18,9,5,0
96825.0,4.99,239337.0,115.0,1,0,0,1,1,8,28,9,19,0
60459.0,4.99,97108.0,89.0,1,0,0,1,1,9,1,9,19,0
959.33,5.99,236787.5,115.0,1,0,0,1,1,8,18,9,12,0
116834.26,5.99,236787.5,117.93810019518544,1,0,0,1,1,8,18,10,18,0
129071.98,5.99,236787.5,117.93810019518544,1,0,0,1,1,8,21,10,22,0
128584.13,5.99,475877.0,122.0,1,0,0,1,1,9,10,11,9,0
67690.05,6.99,234489.0,115.0,1,0,0,1,1,8,18,9,11,0
82661.54,6.99,234489.0,115.0,1,0,0,1,1,8,19,9,10,0
36767.26,6.99,234489.0,115.0,1,0,0,1,1,8,21,9,10,0
45515.63,6.99,234489.0,115.0,1,0,0,1,1,8,24,9,13,0
32494.2,5.99,232358.0,113.0,1,0,1,0,0,8,18,9,6,0
32494.2,5.99,232358.0,113.0,1,0,1,0,0,8,27,9,26,0
32494.2,5.99,232358.0,113.0,1,0,1,0,0,8,30,9,26,0
32499.0,5.99,232358.0,79.0,1,0,1,0,0,9,3,9,26,0
32499.0,5.99,232358.0,79.0,1,0,1,0,0,9,5,9,26,0
32399.0,5.99,232358.0,79.0,1,0,1,0,0,9,10,9,26,0
32399.0,5.99,232358.0,79.0,1,0,1,0,0,9,14,10,8,0
88365.08,4.99,245179.0,119.0,1,1,0,0,2,8,18,9,10,0
110822.27,4.99,120733.0,114.0,1,1,0,0,2,9,1,9,21,0
71854.28,4.99,120733.0,114.0,1,1,0,0,2,9,10,10,1,0
70428.0,4.99,120733.0,114.0,1,1,0,0,2,9,10,10,1,0
3264.68,4.99,120733.0,114.0,1,1,0,0,2,9,12,10,5,1
88567.8,6.99,217640.0,115.0,1,0,0,1,0,8,18,9,18,0
14761.3,6.99,243444.0,105.0,1,0,0,1,0,9,13,10,15,0
57024.8,6.99,260432.0,117.0,1,1,0,0,1,8,18,9,4,0
53558.0,6.99,260432.0,117.0,1,1,0,0,1,8,21,9,12,0
54876.0,6.99,260432.0,117.0,1,1,0,0,1,8,27,9,14,0
1004.7,6.99,260432.0,117.0,1,1,0,0,1,8,30,10,5,0
70306.35,6.99,546961.0,79.0,1,1,0,0,1,9,6,9,25,0
36724.2,8.99,268258.0,119.0,1,1,0,0,2,8,18,9,4,0
48709.9,8.99,268258.0,119.0,1,1,0,0,2,8,21,9,6,0
13537.25,8.99,143784.0,83.0,1,1,0,0,2,9,4,9,20,0
