VALOR_A_PAGAR,TAXA,RENDA_MES_ANTERIOR,NO_FUNCIONARIOS,FLAG_PF,SEGMENTO_INDUSTRIAL,DOMINIO_EMAIL,PORTE,INADIMPLENCIA,Mes_Emissao_Documento,Dia_Emissao_Documento,Mes_Vencimento,Dia_Vencimento
34306.6,6.99,119484.0,89.0,1,2,1,2,0,9,6,9,25
22079.05,6.99,119484.0,89.0,1,2,1,2,0,9,7,9,24
51368.25,6.99,119484.0,89.0,1,2,1,2,0,9,9,9,25
34306.6,6.99,119484.0,89.0,1,2,1,2,0,9,9,9,25
68491.0,6.99,119484.0,89.0,1,2,1,2,0,9,10,9,26
51459.9,6.99,119484.0,89.0,1,2,1,2,0,9,11,9,28
22087.82,6.99,241371.0,125.0,1,2,1,3,0,8,17,9,4
22087.82,6.99,241371.0,125.0,1,2,1,3,0,8,19,9,6
12898.02,6.99,241371.0,125.0,1,2,1,3,0,8,24,9,11
13534.59,6.99,241371.0,125.0,1,2,1,3,0,8,31,9,18
13420.3,6.99,611857.0,104.0,1,2,1,3,0,9,3,9,21
16942.03,6.99,611857.0,104.0,1,2,1,3,0,9,4,9,24
13420.3,6.99,611857.0,104.0,1,2,1,3,0,9,9,9,27
47215.5,5.99,255036.5,113.0,1,3,1,1,0,8,17,9,17
15498.5,5.99,255036.5,113.0,1,3,1,1,0,8,20,9,19
50363.2,5.99,255036.5,113.0,1,3,1,1,0,8,23,9,24
15498.5,5.99,113668.0,105.0,1,3,1,1,0,9,2,10,2
22846.65,5.99,113668.0,105.0,1,3,1,1,0,9,11,10,11
50363.2,5.99,113668.0,105.0,1,3,1,1,0,9,11,10,11
46009.65,5.99,113668.0,105.0,1,3,1,1,0,9,13,10,16
15465.0,5.99,113668.0,105.0,1,3,1,1,0,9,14,10,16
85375.2,11.99,245715.0,119.0,1,3,1,3,0,8,17,9,3
97534.85,11.99,245715.0,119.0,1,3,1,3,0,8,20,9,5
90525.9,11.99,245715.0,119.0,1,3,1,3,0,8,25,9,13
74517.5,11.99,245715.0,119.0,1,3,1,3,0,8,25,9,13
85810.3,11.99,245072.0,125.0,1,3,1,3,0,9,6,9,24
94685.8,11.99,245072.0,125.0,1,3,1,3,0,9,9,9,25
94685.45,11.99,245072.0,125.0,1,3,1,3,0,9,11,9,27
141808.65,11.99,245072.0,125.0,1,3,1,3,0,9,14,10,1
18000.0,6.99,241371.0,125.0,1,2,2,3,0,8,17,9,3
42457.87,6.99,255144.0,82.0,1,2,2,3,0,9,10,10,1
20320.0,4.99,239337.0,115.0,1,1,3,2,0,8,17,9,3
20120.0,4.99,239337.0,115.0,1,1,3,2,0,8,22,9,10
20620.0,4.99,239337.0,115.0,1,1,3,2,0,8,24,9,10
23390.0,4.99,239337.0,115.0,1,1,3,2,0,8,26,9,11
20295.0,4.99,239337.0,115.0,1,1,3,2,0,8,28,9,13
20395.0,4.99,239337.0,115.0,1,1,3,2,0,8,31,9,17
11895.0,4.99,160816.0,90.0,1,1,3,2,0,9,9,9,25
20495.0,4.99,160816.0,90.0,1,1,3,2,0,9,11,9,27
20995.0,4.99,160816.0,90.0,1,1,3,2,0,9,11,9,27
76369.2,4.99,244490.0,122.0,1,1,2,3,0,8,17,9,3
30177.5,4.99,244490.0,122.0,1,1,2,3,0,8,26,9,11
93530.64,4.99,244490.0,122.0,1,1,2,3,0,8,26,9,11
10000.0,4.99,244490.0,122.0,1,1,2,3,1,8,31,9,17
6660.0,4.99,86278.0,131.0,1,1,2,3,1,9,3,9,19
92130.64,4.99,86278.0,131.0,1,1,2,3,0,9,6,9,24
9556.0,4.99,86278.0,131.0,1,1,2,3,0,9,6,9,24
42651.2,4.99,86278.0,131.0,1,1,2,3,0,9,7,9,24
92130.64,4.99,86278.0,131.0,1,1,2,3,0,9,10,9,26
72388.36,4.99,86278.0,131.0,1,1,2,3,0,9,13,10,1
93654.8,6.99,234489.0,115.0,1,1,5,2,0,8,17,9,3
33233.4,6.99,234489.0,115.0,1,1,5,2,0,8,20,9,5
31463.0,6.99,234489.0,115.0,1,1,5,2,0,8,23,9,10
1182.0,6.99,234489.0,115.0,1,1,5,2,0,8,30,10,5
96370.85,6.99,457591.0,102.0,1,1,5,2,0,9,6,9,24
22589.98,6.99,457591.0,102.0,1,1,5,2,0,9,7,9,24
21250.45,6.99,245366.0,117.0,1,2,1,2,0,8,17,9,10
50467.5,6.99,260432.0,117.0,1,3,1,2,0,8,17,9,24
49557.3,6.99,260432.0,117.0,1,3,1,2,0,8,19,9,24
50157.42,6.99,260432.0,117.0,1,3,1,2,0,8,19,9,24
30852.14,6.99,260432.0,117.0,1,3,1,2,0,8,19,9,10
100631.6,6.99,260432.0,117.0,1,3,1,2,0,8,20,9,25
100935.0,6.99,260432.0,117.0,1,3,1,2,0,8,26,10,1
43616.46,6.99,260432.0,117.0,1,3,1,2,0,8,26,10,1
50103.42,6.99,260432.0,117.0,1,3,1,2,0,8,27,10,2
39127.05,6.99,260432.0,117.0,1,3,1,2,0,8,27,10,2
77080.1,6.99,260432.0,117.0,1,3,1,2,0,8,28,10,3
30919.36,6.99,260432.0,117.0,1,3,1,2,0,8,28,9,19
53225.2,6.99,260432.0,117.0,1,3,1,2,0,8,29,10,4
99721.4,6.99,260432.0,117.0,1,3,1,2,0,8,29,10,4
50042.74,6.99,260432.0,117.0,1,3,1,2,0,8,31,10,8
201870.0,6.99,260432.0,100.0,1,3,1,2,0,9,1,10,9
62006.76,6.99,260432.0,100.0,1,3,1,2,0,9,2,9,24
43166.46,6.99,260432.0,100.0,1,3,1,2,0,9,6,10,15
200070.0,6.99,260432.0,100.0,1,3,1,2,0,9,6,10,15
49714.1,6.99,260432.0,100.0,1,3,1,2,0,9,7,10,15
62552.86,6.99,260432.0,100.0,1,3,1,2,0,9,7,10,1
196429.2,6.99,260432.0,100.0,1,3,1,2,0,9,7,10,15
72994.92,6.99,260432.0,100.0,1,3,1,2,0,9,7,10,15
49410.7,6.99,260432.0,100.0,1,3,1,2,0,9,7,10,15
49107.3,6.99,260432.0,100.0,1,3,1,2,0,9,9,10,15
63124.28,6.99,260432.0,100.0,1,3,1,2,0,9,9,10,1
72024.04,6.99,260432.0,100.0,1,3,1,2,0,9,10,10,16
50017.5,6.99,260432.0,100.0,1,3,1,2,0,9,11,10,17
76316.6,6.99,260432.0,100.0,1,3,1,2,0,9,11,10,17
49410.7,6.99,260432.0,100.0,1,3,1,2,0,9,11,10,17
43348.5,6.99,260432.0,100.0,1,3,1,2,0,9,12,10,18
73359.0,6.99,260432.0,100.0,1,3,1,2,0,9,12,10,18
76511.46,6.99,260432.0,100.0,1,3,1,2,0,9,12,10,18
72388.12,6.99,260432.0,100.0,1,3,1,2,0,9,12,10,18
49107.3,6.99,260432.0,100.0,1,3,1,2,0,9,13,10,19
196429.2,6.99,260432.0,100.0,1,3,1,2,0,9,14,10,22
38007.96,6.99,234489.0,117.0,1,1,3,2,0,8,17,9,6
62334.28,6.99,234489.0,117.0,1,1,3,2,0,8,26,9,17
16914.91,6.99,234489.0,117.0,1,1,3,2,0,8,26,9,20
100416.68,5.99,247027.0,122.0,1,1,1,3,0,8,18,9,4
200834.48,5.99,247027.0,122.0,1,1,1,3,0,8,22,9,11
102263.13,5.99,247027.0,122.0,1,1,1,3,0,8,30,9,17
99481.76,5.99,247027.0,122.0,1,1,1,3,0,8,30,9,17
196458.08,5.99,247027.0,122.0,1,1,1,3,0,8,30,9,17
102263.13,5.99,49788.0,118.0,1,1,1,3,0,9,1,9,18
99983.13,5.99,49788.0,118.0,1,1,1,3,0,9,1,9,18
146641.92,5.99,49788.0,118.0,1,1,1,3,0,9,1,9,18
196794.02,5.99,49788.0,118.0,1,1,1,3,0,9,2,9,19
100630.18,5.99,49788.0,118.0,1,1,1,3,0,9,3,9,20
196794.02,5.99,49788.0,118.0,1,1,1,3,0,9,11,9,28
98397.01,5.99,49788.0,118.0,1,1,1,3,0,9,11,9,28
70946.0,4.99,239337.0,115.0,1,1,3,2,0,8,18,9,5
96825.0,4.99,239337.0,115.0,1,1,3,2,0,8,28,9,19
60459.0,4.99,97108.0,89.0,1,1,3,2,0,9,1,9,19
959.33,5.99,236787.5,115.0,1,1,3,2,0,8,18,9,12
116834.26,5.99,236787.5,117.0,1,1,2,2,0,8,18,10,18
129071.98,5.99,236787.5,117.0,1,1,2,2,0,8,21,10,22
128584.13,5.99,475877.0,122.0,1,1,2,2,0,9,10,11,9
67690.05,6.99,234489.0,115.0,1,1,1,2,0,8,18,9,11
82661.54,6.99,234489.0,115.0,1,1,1,2,0,8,19,9,10
36767.26,6.99,234489.0,115.0,1,1,1,2,0,8,21,9,10
45515.63,6.99,234489.0,115.0,1,1,1,2,0,8,24,9,13
32494.2,5.99,232358.0,113.0,1,2,1,1,0,8,18,9,6
32494.2,5.99,232358.0,113.0,1,2,1,1,0,8,27,9,26
32494.2,5.99,232358.0,113.0,1,2,1,1,0,8,30,9,26
32499.0,5.99,232358.0,79.0,1,2,1,1,0,9,3,9,26
32499.0,5.99,232358.0,79.0,1,2,1,1,0,9,5,9,26
32399.0,5.99,232358.0,79.0,1,2,1,1,0,9,10,9,26
32399.0,5.99,232358.0,79.0,1,2,1,1,0,9,14,10,8
88365.08,4.99,245179.0,119.0,1,3,1,3,0,8,18,9,10
110822.27,4.99,120733.0,114.0,1,3,1,3,0,9,1,9,21
71854.28,4.99,120733.0,114.0,1,3,1,3,0,9,10,10,1
70428.0,4.99,120733.0,114.0,1,3,1,3,0,9,10,10,1
3264.68,4.99,120733.0,114.0,1,3,1,3,1,9,12,10,5
88567.8,6.99,217640.0,115.0,1,1,2,1,0,8,18,9,18
14761.3,6.99,243444.0,105.0,1,1,2,1,0,9,13,10,15
57024.8,6.99,260432.0,117.0,1,3,1,2,0,8,18,9,4
53558.0,6.99,260432.0,117.0,1,3,1,2,0,8,21,9,12
54876.0,6.99,260432.0,117.0,1,3,1,2,0,8,27,9,14
1004.7,6.99,260432.0,117.0,1,3,1,2,0,8,30,10,5
70306.35,6.99,546961.0,79.0,1,3,1,2,0,9,6,9,25
36724.2,8.99,268258.0,119.0,1,3,3,3,0,8,18,9,4
48709.9,8.99,268258.0,119.0,1,3,3,3,0,8,21,9,6
13537.25,8.99,143784.0,83.0,1,3,3,3,0,9,4,9,20
49757.98,8.99,143784.0,83.0,1,3,3,3,0,9,5,9,21
45027.31,5.99,236787.5,115.0,1,1,2,2,0,8,18,9,4
36373.7,5.99,697394.0,98.0,1,1,2,2,0,9,4,9,21
36373.3,5.99,697394.0,98.0,1,1,2,2,0,9,12,10,1
47880.35,5.99,247027.0,122.0,1,1,3,3,0,8,18,9,4
16709.56,5.99,254785.0,122.0,1,1,3,3,0,9,3,9,26
21023.87,5.99,254785.0,122.0,1,1,3,3,0,9,8,9,28
16709.66,5.99,254785.0,122.0,1,1,3,3,0,9,14,10,8
47102.08,5.99,255036.5,113.0,1,3,1,1,0,8,18,9,11
132343.65,5.99,255036.5,113.0,1,3,1,1,0,8,19,9,10
116954.85,5.99,255036.5,113.0,1,3,1,1,0,8,20,9,10
47100.88,5.99,255036.5,113.0,1,3,1,1,0,8,21,9,11
132343.65,5.99,255036.5,113.0,1,3,1,1,0,8,25,9,18
47100.88,5.99,255036.5,113.0,1,3,1,1,0,8,26,9,17
116954.85,5.99,687301.0,85.0,1,3,1,1,0,9,9,10,1
132343.65,5.99,687301.0,85.0,1,3,1,1,0,9,11,10,2
39256.74,5.99,247027.0,122.0,1,1,1,3,0,8,19,9,13
20304.53,5.99,247027.0,104.0,1,1,1,3,0,9,7,10,2
41374.9,6.99,234489.0,115.0,1,1,2,2,0,8,19,9,4
80757.55,6.99,234489.0,100.0,1,1,2,2,0,9,15,10,2
52423.85,4.99,220230.0,125.0,1,2,1,3,0,8,19,9,5
36895.85,4.99,220230.0,125.0,1,2,1,3,0,8,23,9,10
31256.5,4.99,220230.0,125.0,1,2,1,3,0,8,24,9,10
32566.9,4.99,220230.0,125.0,1,2,1,3,0,8,28,9,13
